,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
France,France,GPE,0.12618838,0.62188206,en,383.20000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Belgium,Belgium,GPE,0.03358988,0.52650057,en,63.20000000,4005406-8,2802361,A,50.75000000,4.50000000,EUROPE,Belgium,WCE
Paris,Paris,GPE,0.14841708,0.50990960,en,46.00000000,4044660-8,2988507,P,48.85341000,2.34880000,EUROPE,France,WCE
Savoie,Savoie,GPE,-0.02474498,0.42319749,en,38.00000000,117150-1,2975517,A,45.46805000,6.48547000,EUROPE,France,WCE
Europe,Europe,LOC,0.18633584,0.82768514,en,36.80000000,,0,,,,,,
Canada,Canada,GPE,0.12489421,0.64291236,en,35.30000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
the United States,the United States,GPE,-0.01961680,0.90369580,en,33.30000000,,0,,,,,,
Alps,Alps,GPE,0.13957703,0.71438122,en,28.60000000,,0,,,,,,
Brittany,Brittany,GPE,0.00348725,0.60857846,en,18.00000000,4008220-9,3030293,A,48.16667000,-2.83333000,EUROPE,France,WCE
Spain,Spain,GPE,0.00407524,0.82611605,en,17.40000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Italy,Italy,GPE,0.12357637,0.54562742,en,14.90000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Venezuela,Venezuela,GPE,0.02676348,0.91988402,en,14.60000000,4062512-6,3625428,A,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
Iran,Iran,GPE,0.19003838,0.67977980,en,12.50000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Landes,Landes,GPE,0.23070988,0.67217042,en,11.70000000,,3007868,L,44.25000000,-1.00000000,EUROPE-AFRICA,France,MED
Switzerland,Switzerland,GPE,0.03009850,0.63072208,en,11.20000000,,2658434,A,47.00016000,8.01427000,EUROPE,Switzerland,WCE
Lyon,Lyon,GPE,0.01003812,0.81121316,en,11.10000000,4036770-8,2996944,P,45.74846000,4.84671000,EUROPE,France,WCE
Milan,Milan,GPE,0.16945246,0.54171176,en,10.80000000,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
Loire,Loire,GPE,0.02414330,0.49221184,en,10.70000000,4041204-0,2990969,P,47.21725000,-1.55336000,EUROPE,France,WCE
Bordeaux,Bordeaux,GPE,0.14542638,0.71509638,en,10.60000000,4088072-2,3031582,P,44.84044000,-0.58050000,EUROPE-AFRICA,France,MED
Mexico,Mexico,GPE,0.19240741,0.67203704,en,9.00000000,4039058-5,3996063,A,23.00000000,-102.00000000,CENTRAL-AMERICA,Mexico,NCA
Maine-et-Loire,Maine-et-Loire,GPE,0.05079531,0.14623244,en,8.70000000,4002024-1,3037656,P,47.47156000,-0.55202000,EUROPE,France,WCE
SNCF,SNCF,GPE,0.06160625,0.78223759,en,7.40000000,,8199507,S,48.85944000,2.90577000,EUROPE,France,WCE
Corsica,Corsica,LOC,-0.00405093,0.42650463,en,7.20000000,1246405024,3023519,A,42.06153000,8.95420000,EUROPE-AFRICA,France,MED
Brussels,Brussels,GPE,-0.04201840,0.37313312,en,7.00000000,4008460-7,2800866,P,50.85045000,4.34878000,EUROPE,Belgium,WCE
Ukraine,Ukraine,GPE,0.04304845,0.39304080,en,6.60000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
New York,New York,GPE,0.15864219,1.13799534,en,6.50000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Germany,Germany,GPE,0.12009549,0.65438368,en,6.40000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Paraguay,Paraguay,GPE,0.06706408,0.54918033,en,6.10000000,4044601-3,3437598,A,-23.33333000,-58.00000000,SOUTH-AMERICA,Paraguay,SES
the South-West,the South-West,LOC,0.17930622,0.60482456,en,5.70000000,,12110881,L,32.83468000,-95.56338000,NORTH-AMERICA,United States,CNA
Mediterranean,Mediterranean,LOC,0.09706539,0.86650452,en,5.70000000,,0,,,,,,
