,phrase,label,sentiment,subjectivity,language,count
French,French,NORP,,,en,60.89999999999993
first,first,ORDINAL,,,en,47.39999999999999
two,two,CARDINAL,,,en,39.999999999999986
Thursday,Thursday,DATE,,,en,32.20000000000001
three,three,CARDINAL,,,en,28.600000000000012
Tuesday,Tuesday,DATE,,,en,28.299999999999997
Sunday,Sunday,DATE,,,en,24.60000000000001
Wednesday,Wednesday,DATE,,,en,21.699999999999996
winter,winter,DATE,,,en,21.40000000000001
Saturday,Saturday,DATE,,,en,21.200000000000006
morning,morning,TIME,,,en,18.3
Friday,Friday,DATE,,,en,18.10000000000001
this weekend,this weekend,DATE,,,en,16.700000000000003
Monday,Monday,DATE,,,en,16.4
American,American,NORP,,,en,16.000000000000014
2026,2026,DATE,,,en,15.600000000000012
one,one,CARDINAL,,,en,15.20000000000001
four,four,CARDINAL,,,en,14.999999999999998
evening,evening,TIME,,,en,14.300000000000006
this Tuesday,this Tuesday,DATE,,,en,13.999999999999998
2025,2025,DATE,,,en,13.700000000000006
5,5,CARDINAL,,,en,13.500000000000007
Olympics,Olympics,EVENT,,,en,11.7
Three,Three,CARDINAL,,,en,11.600000000000003
this Thursday,this Thursday,DATE,,,en,10.799999999999999
Morbihan,Morbihan,NORP,-0.19127331002331005,0.8289481351981353,en,10.0
second,second,ORDINAL,,,en,9.600000000000001
this Monday,this Monday,DATE,,,en,9.6
today,today,DATE,,,en,9.399999999999997
February,February,DATE,,,en,9.0
this Friday,this Friday,DATE,,,en,8.999999999999998
this Sunday,this Sunday,DATE,,,en,8.0
third,third,ORDINAL,,,en,7.7
Winter Olympics 2026,Winter Olympics 2026,DATE,,,en,7.5
five,five,CARDINAL,,,en,7.299999999999998
European,European,NORP,,,en,7.199999999999997
this Saturday,this Saturday,DATE,,,en,7.1000000000000005
the day,the day,DATE,,,en,7.099999999999999
six,six,CARDINAL,,,en,6.7
the coming days,the coming days,DATE,,,en,6.699999999999999
2,2,CARDINAL,,,en,6.6
Finistère,Finistère,NORP,-0.2138157894736842,0.5888157894736842,en,6.5
Two,Two,CARDINAL,,,en,6.499999999999999
this Wednesday,this Wednesday,DATE,,,en,6.2
May,May,DATE,,,en,6.199999999999999
Canadian,Canadian,NORP,,,en,6.199999999999999
Swiss,Swiss,NORP,,,en,6.199999999999998
4,4,CARDINAL,,,en,6.199999999999998
this summer,this summer,DATE,,,en,6.1
the weekend,the weekend,DATE,,,en,5.999999999999998
half,half,CARDINAL,,,en,5.8999999999999995
10,10,MONEY,,,en,5.8
18,18,CARDINAL,,,en,5.8
21,21,CARDINAL,,,en,5.8
eight,eight,CARDINAL,,,en,5.699999999999999
Chinese,Chinese,NORP,,,en,5.699999999999998
the Winter Olympics,the Winter Olympics,EVENT,,,en,5.299999999999999
recent days,recent days,DATE,,,en,5.199999999999999
Six,Six,CARDINAL,,,en,5.199999999999999
Belgian,Belgian,NORP,,,en,5.1
1,1,CARDINAL,,,en,5.1
13,13,CARDINAL,,,en,5.000000000000001
the 2026 Olympics,the 2026 Olympics,EVENT,,,en,4.800000000000001
this week,this week,DATE,,,en,4.699999999999999
One,One,CARDINAL,,,en,4.699999999999999
The day,The day,DATE,,,en,4.499999999999999
several days,several days,DATE,,,en,4.4
afternoon,afternoon,TIME,,,en,4.4
