,phrase,label,sentiment,subjectivity,language,count
Storm Goretti,Storm Goretti,PERSON,-0.03882341937897496,0.5298868312757203,en,17.999999999999993
Donald Trump,Donald Trump,PERSON,0.125,0.125,en,1.6
Manlio Dinucci,Manlio Dinucci,PERSON,0.0,0.0,en,1.3
Alexandre Texier,Alexandre Texier,PERSON,0.0,0.0,en,1.3
Camille Parmesan,Camille Parmesan,PERSON,0.1778846153846154,0.34615384615384615,en,1.3
Laurent Vinatier,Laurent Vinatier,PERSON,0.0,0.0,en,1.3
HBO Max,HBO Max,PERSON,0.0,0.0,en,1.3
Xiaomi YU7,Xiaomi YU7,PERSON,0.0,0.09615384615384615,en,1.3
Pascal Ickx,Pascal Ickx,PERSON,-0.01736111111111112,0.6944444444444444,en,1.2
Météo France,Météo France,PERSON,-0.10000000000000002,0.4000000000000001,en,1.0
Romain Allemand,Romain Allemand,PERSON,0.2833333333333334,0.37777777777777777,en,1.0
Barry Callebaut,Barry Callebaut,PERSON,0.0,0.0,en,1.0
Cyclone Chido,Cyclone Chido,PERSON,0.16,0.5399999999999999,en,1.0
Yorick Treille,Yorick Treille,PERSON,0.0,0.0,en,1.0
Nicolas Maduro,Nicolas Maduro,PERSON,0.08,0.26999999999999996,en,1.0
Martin Rodil,Martin Rodil,PERSON,0.08,0.26999999999999996,en,1.0
Peter Feld,Peter Feld,PERSON,0.7,0.1,en,1.0
Sylvain Kahn,Sylvain Kahn,PERSON,0.4,0.375,en,1.0
de Villiers,de Villiers,PERSON,0.1488095238095238,0.6904761904761904,en,1.0
Michel Guerrin,Michel Guerrin,PERSON,0.1488095238095238,0.6904761904761904,en,1.0
Jesse Kortuem,Jesse Kortuem,PERSON,-0.05,0.4,en,1.0
Doomsday Clock,Doomsday Clock,PERSON,0.0,0.0,en,1.0
Serena Tarabini,Serena Tarabini,PERSON,0.0,0.28125,en,1.0
Lindsey Vonn,Lindsey Vonn,PERSON,-0.125,0.375,en,1.0
La Bérarde,La Bérarde,PERSON,0.0,0.0,en,1.0
Sophie Leclerc,Sophie Leclerc,PERSON,0.0,0.375,en,1.0
Anaé Simon,Anaé Simon,PERSON,0.0,0.375,en,1.0
Mikaela Shiffrin,Mikaela Shiffrin,PERSON,0.0,0.0,en,1.0
Sidney Crosby,Sidney Crosby,PERSON,0.0,0.0,en,1.0
Johannes Klaebo,Johannes Klaebo,PERSON,0.0,0.0,en,1.0
Xiaomi Redmi,Xiaomi Redmi,PERSON,0.5,1.0,en,1.0
Donald the Orange,Donald the Orange,PERSON,-0.25,0.5,en,1.0
Montreal Canadiens,Montreal Canadiens,PERSON,0.5555555555555555,0.5555555555555555,en,1.0
Timon Haugan,Timon Haugan,PERSON,0.0,0.5,en,1.0
Tom Cruise”,Tom Cruise”,PERSON,0.1,0.15,en,1.0
Franck Haise,Franck Haise,PERSON,0.6,1.0,en,1.0
Brigitte Bardot,Brigitte Bardot,PERSON,0.0,0.0,en,1.0
François Bayrou,François Bayrou,PERSON,-0.25,0.25,en,1.0
Nicolas Sarkozy,Nicolas Sarkozy,PERSON,-0.25,0.25,en,1.0
Noam Chomsky,Noam Chomsky,PERSON,0.0,0.06666666666666667,en,1.0
Margot Dumont,Margot Dumont,PERSON,0.2625,0.41250000000000003,en,1.0
Lei Jun,Lei Jun,PERSON,-0.5,1.0,en,1.0
Armand Marchant,Armand Marchant,PERSON,0.7,0.6000000000000001,en,1.0
Clément Noël,Clément Noël,PERSON,0.0,0.5,en,1.0
Jacob Tierney,Jacob Tierney,PERSON,0.4166666666666667,0.5833333333333334,en,1.0
Goretti Storm,Goretti Storm,PERSON,0.0,0.0,en,1.0
James Peebles,James Peebles,PERSON,0.0,0.08333333333333333,en,1.0
Daniil Kasatkin,Daniil Kasatkin,PERSON,0.0,0.0,en,1.0
Mother Nature,Mother Nature,PERSON,0.0,0.0,en,1.0
Marion Haerty,Marion Haerty,PERSON,0.0,0.0,en,1.0
Breton kitesurfer,Breton kitesurfer,PERSON,0.0,0.0,en,1.0
Clément Huot,Clément Huot,PERSON,0.0,0.0,en,1.0
Deicing spray,Deicing spray,PERSON,-0.16666666666666666,0.06666666666666667,en,1.0
Pascal Praud,Pascal Praud,PERSON,0.0,0.0,en,1.0
Jordan Bardella,Jordan Bardella,PERSON,0.0,0.1,en,1.0
